9500	0.269
8000	0.282
7333	0.327
7250	0.259
7167	0.240
7087	0.270
6375	0.253
6250	0.238
6200	0.300
6000	0.247
5825	0.213
5625	0.238
5000	0.245
4900	0.276
4500	0.268
4000	0.221
3625	0.301
3450	0.242
3150	0.273
3000	0.250
2500	0.208
2400	0.306
2250	0.235
2125	0.277
2100	0.227
1800	0.307
1500	0.276
1087	0.216
1000	0.289
950	0.237
800	0.202
750	0.344
720	0.185
675	0.234
630	0.324
600	0.200
500	0.214
325	0.262
320	0.207
305	0.233
285	0.259
232	0.250
227	0.278
221	0.237
221	0.235
220	0.243
217	0.297
202	0.333
202	0.301
200	0.224
